项目,营运部门,铺位号,品牌,录入销售,录入笔数,POS销售,POS笔数,小计销售,小计笔数
苍南银泰城,5F,5016,69413-一牛一刻,421037.8,5326,0,0,421037.8,5326
苍南银泰城,5F,5023,69441-茶百道,45884.66,2233,0,0,45884.66,2233
苍南银泰城,5F,5031,69601-狐狸爱上椰子鸡,213136.25,548847,0,0,213136.25,548847
苍南银泰城,5F,5012,69529-釜山火炉,42843.4,209,0,0,42843.4,209
苍南银泰城,5F,5032,60662-唛浪KTV,357183,1297,0,0,357183,1297
苍南银泰城,5F,05025-B,69576-西树泡芙,48331.84,1600,0,0,48331.84,1600
苍南银泰城,5F,5029,69543-蜜约牛,252542,1318,0,0,252542,1318
苍南银泰城,5F,5026,69579-一点点,125164.2,1948,0,0,125164.2,1948
苍南银泰城,5F,05021-C,69560-CoCo都可,58513.42,2987,0,0,58513.42,2987
苍南银泰城,5F,5009,69557-不鱼样,112130.5,1113,0,0,112130.5,1113
苍南银泰城,5F,DZ-05506,69519-周黑鸭,35754.95,668,0,0,35754.95,668
苍南银泰城,5F,DZ-05003,69600-如悦,3912.42,16,0,0,3912.42,16
苍南银泰城,5F,05019-B,69307-韩宫宴,214236.89,1204,0,0,214236.89,1204
苍南银泰城,5F,05025-A,69481-阿香米线,161410.73,5065,0,0,161410.73,5065
苍南银泰城,5F,5002,69446-吃城都,177415,902,0,0,177415,902
苍南银泰城,5F,5022,69536-百草味,41804.39,1071,0,0,41804.39,1071
苍南银泰城,5F,5027,69537-喜姐炸串,39597.5,1834,0,0,39597.5,1834
苍南银泰城,5F,05013-A,60957-京蔚山,300249.5,1651,0,0,300249.5,1651
苍南银泰城,5F,5001,69503-七欣天,279108.21,1108,0,0,279108.21,1108
苍南银泰城,5F,5006,69663-裕鼎鲜,117493.11,1351,0,0,117493.11,1351
苍南银泰城,5F,05021-B,60947-去茶去,453504.02,1848,0,0,453504.02,1848
苍南银泰城,5F,DZ-05002,69534-小饭郎,5976.66,583,0,0,5976.66,583
苍南银泰城,5F,05019-C,69588-无添寿,134723.1,3705,0,0,134723.1,3705
